zone_id,zone,pickup_count,dropoff_count,out_degree,in_degree,flow_count,avg_tip,tip_rate
102,Glendale,22,268,19,30,290,1.1436363636363636,0.18181818181818182
126,Hunts Point,22,70,17,41,92,0.0,0.0
133,Kensington,22,159,19,49,181,0.2318181818181818,0.13636363636363635
201,Rockaway Park,22,63,17,30,85,0.09636363636363637,0.09090909090909091
19,Bellerose,21,99,14,25,120,9.378095238095238,0.47619047619047616
67,Dyker Heights,21,63,19,37,84,3.624761904761905,0.38095238095238093
94,Fordham South,20,37,16,26,57,0.0,0.0
122,Hollis,19,135,16,25,154,0.13157894736842105,0.05263157894736842
3,Allerton/Pelham Gardens,18,45,15,30,63,0.16666666666666666,0.05555555555555555
31,Bronx Park,18,41,16,23,59,7.573333333333333,0.6666666666666666
192,Queensboro Hill,18,134,15,27,152,4.17,0.5555555555555556
240,Van Cortlandt Park,17,21,9,14,38,3.1947058823529413,0.5294117647058824
252,Whitestone,16,167,12,25,183,4.65625,0.25
171,Murray Hill-Queens,14,132,11,32,146,0.8771428571428571,0.2857142857142857
124,Howard Beach,13,89,10,29,102,5.22,0.38461538461538464
180,Ozone Park,13,59,12,27,72,3.9092307692307693,0.15384615384615385
183,Pelham Bay,12,18,11,11,30,0.0,0.0
1,Newark Airport,11,872,2,77,883,12.827272727272726,0.7272727272727273
9,Auburndale,11,96,10,28,107,0.5454545454545454,0.09090909090909091
101,Glen Oaks,11,55,9,18,66,1.6327272727272728,0.2727272727272727
153,Marble Hill,11,26,10,17,37,0.9981818181818182,0.36363636363636365
11,Bath Beach,10,38,8,28,48,0.496,0.1
16,Bayside,10,118,7,28,128,0.0,0.0
98,Fresh Meadows,9,112,9,23,121,0.7666666666666667,0.1111111111111111
120,Highbridge Park,8,41,6,20,49,2.59375,0.5
15,Bay Terrace/Fort Totten,7,57,7,18,64,6.43,0.42857142857142855
64,Douglaston,7,57,7,15,64,3.2342857142857144,0.2857142857142857
73,East Flushing,7,83,5,16,90,0.6928571428571428,0.2857142857142857
178,Ocean Parkway South,7,50,7,29,57,0.0,0.0
175,Oakland Gardens,6,90,6,26,96,1.0,0.16666666666666666
96,Forest Park/Highland Park,4,63,4,12,67,8.7275,0.75
128,Inwood Hill Park,4,53,4,22,57,0.0,0.0
8,Astoria Park,3,6,3,6,9,0.0,0.0
184,Pelham Bay Park,3,9,3,8,12,1.6666666666666667,0.3333333333333333
111,Green-Wood Cemetery,2,7,2,7,9,2.14,0.5
