taxi_type,date,hour,rows,tip_rate,avg_tip,median_tip,tip_rate_next,avg_tip_next
green,2024-01-05,20,18,1.0,2.8922222222222222,2.71,0.9230769230769231,3.0776923076923075
green,2024-01-05,21,13,0.9230769230769231,3.0776923076923075,2.36,0.8571428571428571,3.2735714285714286
green,2024-01-05,22,14,0.8571428571428571,3.2735714285714286,2.5,1.0,3.516153846153846
green,2024-01-06,0,11,0.9090909090909091,4.1054545454545455,3.47,1.0,3.28875
green,2024-01-06,1,8,1.0,3.28875,3.1900000000000004,0.6666666666666666,1.72
green,2024-01-06,2,6,0.6666666666666666,1.72,1.75,1.0,4.976666666666667
green,2024-01-06,3,3,1.0,4.976666666666667,6.75,1.0,3.5100000000000002
green,2024-01-06,6,1,1.0,7.25,7.25,0.875,1.65
green,2024-01-06,7,8,0.875,1.65,2.0,1.0,4.056666666666667
green,2024-01-06,8,6,1.0,4.056666666666667,3.48,0.8666666666666667,3.070666666666667
green,2024-01-06,9,15,0.8666666666666667,3.070666666666667,3.0,0.8333333333333334,3.321111111111111
green,2024-01-06,10,18,0.8333333333333334,3.321111111111111,3.725,0.9411764705882353,3.2841176470588236
green,2024-01-06,11,17,0.9411764705882353,3.2841176470588236,2.99,1.0,2.8884999999999996
green,2024-01-06,12,20,1.0,2.8884999999999996,2.39,1.0,3.417368421052632
green,2024-01-06,13,19,1.0,3.417368421052632,3.58,0.9259259259259259,3.3044444444444445
green,2024-01-06,14,27,0.9259259259259259,3.3044444444444445,2.85,0.8857142857142857,3.451714285714286
green,2024-01-06,15,35,0.8857142857142857,3.451714285714286,2.5,0.9545454545454546,3.1649999999999996
green,2024-01-06,16,22,0.9545454545454546,3.1649999999999996,3.0949999999999998,0.9696969696969697,3.123030303030303
green,2024-01-06,17,33,0.9696969696969697,3.123030303030303,2.89,0.8823529411764706,3.2541176470588233
green,2024-01-06,18,17,0.8823529411764706,3.2541176470588233,3.7,1.0,3.826875
green,2024-01-06,19,16,1.0,3.826875,3.14,0.8666666666666667,2.9633333333333334
green,2024-01-06,20,15,0.8666666666666667,2.9633333333333334,2.95,0.9230769230769231,3.399230769230769
green,2024-01-06,21,13,0.9230769230769231,3.399230769230769,3.75,0.6666666666666666,2.137777777777778
green,2024-01-06,22,9,0.6666666666666666,2.137777777777778,2.0,0.8461538461538461,3.0953846153846154
green,2024-01-07,0,3,0.3333333333333333,0.6933333333333334,0.0,0.8888888888888888,3.0999999999999996
green,2024-01-07,1,9,0.8888888888888888,3.0999999999999996,3.0,1.0,3.63
green,2024-01-07,2,4,1.0,3.63,3.6149999999999998,1.0,1.8
green,2024-01-07,3,1,1.0,1.8,1.8,1.0,3.615
green,2024-01-07,4,2,1.0,3.615,3.615,0.0,0.0
green,2024-01-07,5,1,0.0,0.0,0.0,0.75,5.32
green,2024-01-07,6,4,0.75,5.32,4.715,1.0,1.4816666666666667
green,2024-01-07,7,6,1.0,1.4816666666666667,1.44,1.0,3.59
green,2024-01-07,8,2,1.0,3.59,3.59,0.8888888888888888,3.4233333333333333
green,2024-01-07,9,9,0.8888888888888888,3.4233333333333333,2.71,1.0,3.608333333333333
green,2024-01-07,10,6,1.0,3.608333333333333,2.955,1.0,3.0647058823529414
green,2024-01-07,11,17,1.0,3.0647058823529414,2.87,0.875,2.6525
green,2024-01-07,12,8,0.875,2.6525,2.15,0.9411764705882353,3.5870588235294116
green,2024-01-07,13,17,0.9411764705882353,3.5870588235294116,3.1,0.9285714285714286,4.247142857142857
green,2024-01-07,14,14,0.9285714285714286,4.247142857142857,3.885,0.9166666666666666,3.3016666666666663
green,2024-01-07,15,24,0.9166666666666666,3.3016666666666663,3.16,0.85,3.492
green,2024-01-07,16,20,0.85,3.492,3.05,0.9642857142857143,2.8075
green,2024-01-07,17,28,0.9642857142857143,2.8075,2.7649999999999997,1.0,3.4842857142857144
green,2024-01-07,18,21,1.0,3.4842857142857144,3.27,1.0,3.6738461538461538
green,2024-01-07,19,13,1.0,3.6738461538461538,3.42,0.7272727272727273,2.928181818181818
green,2024-01-07,20,11,0.7272727272727273,2.928181818181818,3.2,0.6666666666666666,2.4133333333333336
green,2024-01-07,21,6,0.6666666666666666,2.4133333333333336,2.54,0.75,3.81875
green,2024-01-07,22,8,0.75,3.81875,4.015000000000001,0.6666666666666666,2.313333333333333
green,2024-01-08,0,3,1.0,2.6933333333333334,2.08,1.0,5.85
green,2024-01-08,1,1,1.0,5.85,5.85,1.0,2.1100000000000003
green,2024-01-08,2,2,1.0,2.1100000000000003,2.1100000000000003,1.0,4.9
green,2024-01-08,5,1,1.0,2.0,2.0,0.9,1.3690000000000002
green,2024-01-08,6,10,0.9,1.3690000000000002,1.38,0.8571428571428571,2.7767857142857144
green,2024-01-08,7,28,0.8571428571428571,2.7767857142857144,2.87,0.7777777777777778,2.4611111111111112
green,2024-01-08,8,27,0.7777777777777778,2.4611111111111112,2.58,0.8125,2.478125
green,2024-01-08,9,16,0.8125,2.478125,2.535,0.9629629629629629,3.4237037037037035
green,2024-01-08,10,27,0.9629629629629629,3.4237037037037035,2.72,0.75,3.141666666666667
green,2024-01-08,11,24,0.75,3.141666666666667,2.645,1.0,3.8482608695652174
green,2024-01-08,12,23,1.0,3.8482608695652174,3.41,0.8421052631578947,2.5078947368421054
green,2024-01-08,13,19,0.8421052631578947,2.5078947368421054,2.0,0.95,2.9859999999999998
green,2024-01-08,14,20,0.95,2.9859999999999998,2.935,0.875,2.3529166666666668
green,2024-01-08,15,24,0.875,2.3529166666666668,2.0,1.0,4.462142857142857
green,2024-01-08,16,28,1.0,4.462142857142857,3.6500000000000004,0.9090909090909091,3.52
green,2024-01-08,17,44,0.9090909090909091,3.52,3.2350000000000003,0.975,3.2660000000000005
green,2024-01-08,18,40,0.975,3.2660000000000005,3.02,0.9565217391304348,3.13
green,2024-01-08,19,23,0.9565217391304348,3.13,2.94,0.8125,2.745
green,2024-01-08,20,16,0.8125,2.745,2.875,1.0,3.73
green,2024-01-08,21,12,1.0,3.73,3.05,0.8571428571428571,2.13
green,2024-01-08,22,7,0.8571428571428571,2.13,2.36,0.8,2.3979999999999997
green,2024-01-09,0,1,1.0,5.0,5.0,0.75,3.415
green,2024-01-09,1,4,0.75,3.415,3.69,1.0,2.6
green,2024-01-09,2,1,1.0,2.6,2.6,1.0,1.0
green,2024-01-09,6,3,0.6666666666666666,1.6733333333333331,2.16,0.92,2.1904
green,2024-01-09,7,25,0.92,2.1904,2.19,0.8214285714285714,2.8242857142857143
green,2024-01-09,8,28,0.8214285714285714,2.8242857142857143,2.785,1.0,3.4427272727272724
green,2024-01-09,9,22,1.0,3.4427272727272724,3.0,1.0,4.5016
green,2024-01-09,10,25,1.0,4.5016,3.84,0.8518518518518519,3.102962962962963
green,2024-01-09,11,27,0.8518518518518519,3.102962962962963,3.0,0.9090909090909091,3.0713636363636367
green,2024-01-09,12,22,0.9090909090909091,3.0713636363636367,3.0,1.0,3.5174999999999996
green,2024-01-09,13,20,1.0,3.5174999999999996,2.9299999999999997,0.9629629629629629,4.646666666666667
green,2024-01-09,14,27,0.9629629629629629,4.646666666666667,3.27,0.9666666666666667,2.9603333333333333
green,2024-01-09,15,30,0.9666666666666667,2.9603333333333333,2.3449999999999998,0.9714285714285714,3.976
