taxi_type,pickup_borough,pickup_zone,rows,tip_rate,avg_tip_amount,avg_fare_amount,avg_trip_distance
green,Queens,Laurelton,2,0.5,2.04,22.0,0.18
green,Bronx,Van Nest/Morris Park,31,0.4838709677419355,3.332258064516129,19.980645161290322,2.44258064516129
green,Bronx,Claremont/Bathgate,29,0.4827586206896552,2.0048275862068965,21.151724137931033,3.8586206896551722
green,Manhattan,Highbridge Park,13,0.46153846153846156,2.393846153846154,35.06923076923077,6.358461538461539
green,Queens,East Flushing,11,0.45454545454545453,2.0681818181818183,27.327272727272728,2.7009090909090907
green,Bronx,Fordham South,7,0.42857142857142855,0.8385714285714286,25.157142857142855,5.997142857142856
green,Brooklyn,Stuyvesant Heights,22,0.4090909090909091,3.830454545454545,33.56363636363636,2.8104545454545455
green,Bronx,Pelham Parkway,10,0.4,4.311999999999999,30.57,2.186
green,Bronx,West Farms/Bronx River,10,0.4,3.021,33.62,4.226999999999999
green,Bronx,Hunts Point,5,0.4,1.032,12.48,0.6900000000000001
green,Queens,Hammels/Arverne,5,0.4,1.4,25.119999999999997,4.894
green,Bronx,Co-Op City,8,0.375,3.6374999999999997,52.4875,10.686250000000001
green,Bronx,Riverdale/North Riverdale/Fieldston,8,0.375,4.2875,31.1125,6.52625
green,Brooklyn,East Flatbush/Remsen Village,11,0.36363636363636365,0.9290909090909092,16.936363636363637,1.6654545454545455
green,Bronx,Longwood,14,0.35714285714285715,0.83,19.071428571428573,2.474285714285714
green,Bronx,Morrisania/Melrose,23,0.34782608695652173,1.7617391304347825,13.821739130434782,1.8321739130434782
green,Bronx,Bronxdale,12,0.3333333333333333,1.7774999999999999,26.400000000000002,5.629166666666666
green,Brooklyn,Bensonhurst East,3,0.3333333333333333,0.7200000000000001,31.700000000000003,6.93
green,Manhattan,Battery Park City,3,0.3333333333333333,1.0,21.666666666666668,4.6866666666666665
green,Brooklyn,Manhattan Beach,10,0.3,1.408,18.15,4.3790000000000004
green,Bronx,Van Cortlandt Village,15,0.26666666666666666,0.9553333333333334,42.74666666666667,10.311333333333332
green,Bronx,Kingsbridge Heights,39,0.2564102564102564,0.5884615384615385,67.67179487179487,13.671538461538463
green,Bronx,Soundview/Castle Hill,8,0.25,0.9674999999999999,21.7,2.5325
green,Brooklyn,Ocean Hill,19,0.21052631578947367,0.9873684210526317,15.694736842105263,2.1626315789473685
green,Queens,Rosedale,5,0.2,0.32,19.580000000000002,2.2640000000000002
green,Brooklyn,Canarsie,7,0.14285714285714285,0.86,76.18571428571428,16.785714285714285
green,Brooklyn,Brownsville,36,0.08333333333333333,0.34944444444444445,14.258333333333333,1.861388888888889
green,Brooklyn,East Flatbush/Farragut,15,0.06666666666666667,0.3626666666666667,14.76,1.7733333333333334
green,Bronx,Pelham Bay Park,3,0.0,0.0,56.166666666666664,6.726666666666667
green,Bronx,Country Club,1,0.0,0.0,15.0,0.55
green,Brooklyn,Green-Wood Cemetery,1,0.0,0.0,21.9,2.7
green,EWR,Newark Airport,1,0.0,0.0,105.0,0.08
green,Queens,Astoria Park,1,0.0,0.0,85.0,24.11
yellow,Queens,Breezy Point/Fort Tilden/Riis Beach,1,1.0,5.0,32.4,7.85
yellow,Queens,Jamaica Bay,1,1.0,11.45,44.3,12.53
yellow,Staten Island,Arrochar/Fort Wadsworth,1,1.0,13.87,53.4,9.96
yellow,Staten Island,Westerleigh,1,1.0,31.23,140.22,0.25
yellow,Manhattan,Upper East Side North,32246,0.975376790919804,3.225216771072381,13.299264404887428,1.8987477516591205
yellow,Manhattan,Upper East Side South,37131,0.9719102636610918,3.245738331852091,13.03655759338558,1.8172346556785437
yellow,Manhattan,Upper West Side South,20056,0.9716294375747906,3.4446579577183885,13.882081172716395,2.1272257678500197
yellow,Manhattan,Yorkville East,9242,0.9699199307509198,3.3923252542739664,14.549891798312053,2.3947305777970134
yellow,Manhattan,Lincoln Square East,23649,0.9682016152902871,3.525507209607172,14.254683496130916,2.1524584549029555
yellow,Manhattan,Lenox Hill West,16705,0.9667764142472314,3.174323256510027,13.262894941634242,1.9309955103262495
yellow,Manhattan,Upper West Side North,13530,0.966149297856615,3.353177383592018,14.067872135994087,2.194046563192905
yellow,Manhattan,Sutton Place/Turtle Bay North,12810,0.962919594067135,3.469373145979703,14.540838407494146,2.0719726775956286
yellow,Manhattan,Yorkville West,13236,0.9616198247204594,3.2095625566636445,13.352663946811724,2.128880326382593
yellow,Manhattan,Central Park,11649,0.96154176324148,3.6674950639539876,15.367556013391708,2.18182504936046
yellow,Manhattan,Midtown East,26985,0.9605706874189365,3.837022419862887,16.003089494163422,2.3140307578284234
yellow,Manhattan,Midtown North,21532,0.958759056288315,3.9637293330856402,16.601454579230914,2.4523263050343673
yellow,Manhattan,Midtown Center,35710,0.9583590030803697,3.987252870344441,16.580378045365446,2.3597034444133294
yellow,Manhattan,Lincoln Square West,7570,0.9582562747688244,3.2739788639365917,13.80735931307794,2.1366393659180978
yellow,Manhattan,Lenox Hill East,14308,0.9574363992172211,3.5146980710092257,15.339504473022085,2.3766599105395585
yellow,Manhattan,Hudson Sq,3683,0.9560141189247896,3.854539777355417,16.483896280206356,2.591805593266359
yellow,Manhattan,Union Sq,20540,0.9548685491723466,3.5385384615384616,14.777962512171372,2.064006329113924
yellow,Manhattan,Greenwich Village North,10546,0.954674758202162,3.5552588659207283,14.630216195714016,2.0829660534799923
yellow,Manhattan,Battery Park City,4458,0.952445042620009,4.994950650515927,23.265008972633467,4.455520412741139
yellow,Queens,LaGuardia Airport,25749,0.9522311546079459,10.511034603285564,44.624981164317056,9.737207658549845
yellow,Manhattan,Murray Hill,21051,0.9519262742862572,3.705375516602537,15.708466106123224,2.258418127404874
yellow,Manhattan,Gramercy,14390,0.9500347463516331,3.4376393328700483,14.535252258512855,2.178765809589993
yellow,Manhattan,Bloomingdale,1541,0.9500324464633355,3.4806164828033745,15.613835171966254,2.523458792991564
yellow,Manhattan,Flatiron,11628,0.9496044031647747,3.486621947024424,14.663918128654972,2.0981028551771588
yellow,Manhattan,West Village,16843,0.9489402125512082,3.5403675117259397,14.729101110253518,2.1629691860119933
yellow,Manhattan,Midtown South,16174,0.948559416347224,3.7724477556572276,16.048767157165823,2.3484833683689876
yellow,Manhattan,West Chelsea/Hudson Yards,12663,0.9465371554923794,3.812226960435916,16.40767669588565,2.375238095238095
yellow,Manhattan,SoHo,5955,0.9459277917716205,3.7916826196473554,16.494895046179682,2.4189000839630563
yellow,Manhattan,East Chelsea,19971,0.9447699163787492,4.024748885884533,17.383836563016374,2.5038706123879626
yellow,Manhattan,Times Sq/Theatre District,23627,0.9445126338511025,4.492060354678969,19.266606001608327,3.0766978456850214
