taxi_type,pickup_borough,pickup_zone,rows,observed_tip_rate,predicted_tip_probability,observed_avg_tip,expected_tip,q10_tip,q50_tip,q90_tip
green,Queens,Kew Gardens Hills,7,0.5714285714285714,0.24975339,7.6642857142857155,0.9414711,1.9460566,4.1594534,5.782632
green,Queens,Kew Gardens,1536,0.8255208333333334,0.27431142,2.86171875,0.90884084,1.7537564,3.4966307,4.6986775
green,Bronx,Melrose South,42,0.5952380952380952,0.23367348,2.4495238095238094,0.89470965,1.5813348,3.9164069,5.185197
green,Brooklyn,Cypress Hills,3,0.6666666666666666,0.2706167,3.28,0.8740392,1.6582578,3.657322,4.325697
green,Brooklyn,Bensonhurst West,1,0.0,0.25124913,0.0,0.86891025,1.6681458,3.7633514,5.2710524
green,Queens,East Flushing,5,0.4,0.22072057,0.97,0.8668709,1.6575749,4.457877,6.0700693
green,Queens,Jamaica Estates,3,0.6666666666666666,0.21786837,3.25,0.8586259,2.2080266,4.7136235,6.0373855
green,Queens,South Jamaica,20,0.6,0.23285703,3.024,0.8378145,1.7710676,4.1835666,5.792693
green,Bronx,Morrisania/Melrose,7,0.2857142857142857,0.2760188,1.7814285714285714,0.811971,1.7414773,3.1205394,4.329619
green,Brooklyn,Bensonhurst East,1,1.0,0.34215212,2.16,0.80208933,1.4701746,2.4251122,3.2383947
green,Queens,Bay Terrace/Fort Totten,1,1.0,0.28109503,8.0,0.7784453,1.1362517,3.03088,3.984717
green,Queens,Auburndale,1,1.0,0.20516898,6.0,0.7782906,1.501441,4.337197,6.1906686
green,Bronx,Pelham Bay Park,1,0.0,0.08534013,0.0,0.7756978,2.3159654,11.097199,14.505547
green,Bronx,Van Nest/Morris Park,14,0.5,0.156354,3.682142857142857,0.7543672,2.0568187,3.9620433,5.4552646
green,Queens,Laurelton,2,0.5,0.20292999,2.04,0.73595273,1.5687311,4.0393844,5.40954
green,Bronx,Mott Haven/Port Morris,53,0.5849056603773585,0.20077316,2.1439622641509435,0.7248037,1.5950187,3.9437177,5.4391303
green,Queens,Hollis,1,1.0,0.3094997,2.5,0.7194006,1.3534007,2.3502889,3.1782808
green,Queens,Howard Beach,1,1.0,0.31825492,2.16,0.6975249,1.5281807,2.2513194,3.075414
green,Bronx,Co-Op City,1,0.0,0.06772502,0.0,0.69616646,2.8713381,13.639201,21.474508
green,Bronx,Allerton/Pelham Gardens,1,1.0,0.22367011,3.0,0.659635,1.1480451,3.1644378,4.1613393
green,Bronx,East Concourse/Concourse Village,28,0.7142857142857143,0.1801335,3.197142857142857,0.61659545,1.6327077,3.7823062,5.0765696
green,Bronx,Pelham Parkway,6,0.16666666666666666,0.1504688,0.8333333333333334,0.6150936,1.8934191,4.072319,5.617579
green,Queens,Rosedale,2,0.0,0.21766993,0.0,0.58766705,1.6908518,2.7825043,4.124173
green,Brooklyn,Manhattan Beach,3,0.6666666666666666,0.27214515,3.026666666666667,0.58165854,1.2173737,2.118185,2.8629625
green,Bronx,Parkchester,7,0.8571428571428571,0.13995361,2.817142857142857,0.5329577,1.4694922,3.6468527,4.797775
green,Bronx,Hunts Point,1,0.0,0.18749289,0.0,0.50504464,0.95472306,3.0486617,4.2481284
green,Bronx,Van Cortlandt Park,11,0.7272727272727273,0.20120391,0.8972727272727273,0.49280632,1.294332,2.7161467,3.8485343
green,Bronx,Mount Hope,13,0.6153846153846154,0.14571358,1.16,0.46705154,1.4321797,3.4265256,4.817738
green,Bronx,Westchester Village/Unionport,4,1.0,0.13589695,2.665,0.4136079,1.7536952,3.3696358,4.9522314
green,Bronx,Soundview/Bruckner,11,0.36363636363636365,0.16986743,0.9490909090909091,0.40265787,1.2214665,2.622906,3.6444023
yellow,Queens,JFK Airport,16481,0.9244584673260118,0.5109331,12.548291365815182,6.145536,6.380065,14.200632,17.583822
yellow,Queens,LaGuardia Airport,12815,0.9516191962543894,0.59338295,10.530161529457667,5.8400326,5.6634536,11.331636,13.715225
yellow,Manhattan,Randalls Island,12,0.9166666666666666,0.55139214,12.470833333333333,5.2957826,4.635017,11.241311,14.901423
yellow,Queens,East Elmhurst,1244,0.9397106109324759,0.4475572,10.221921221864951,4.291692,5.445733,10.814171,13.474716
yellow,Queens,Flushing Meadows-Corona Park,182,0.8791208791208791,0.41693446,8.962142857142856,3.9872806,4.9971538,10.805212,14.028313
yellow,Queens,Saint Michaels Cemetery/Woodside,25,0.96,0.3810724,12.0976,3.9642487,5.581186,12.052927,15.99523
yellow,EWR,Newark Airport,10,0.8,0.28321892,14.11,3.1082814,4.8379393,13.36848,17.99234
yellow,Queens,Baisley Park,124,0.6209677419354839,0.2578938,9.611290322580645,3.093922,4.39277,10.851154,15.316699
yellow,Queens,Sunnyside,261,0.7662835249042146,0.32940644,8.405938697318007,2.8852763,4.6400013,9.998011,13.72165
yellow,Manhattan,Battery Park City,2219,0.9423163587201442,0.62034446,4.905087877422262,2.8128028,2.5453203,5.301669,6.4106083
yellow,Manhattan,World Trade Center,1668,0.9046762589928058,0.6098037,5.043872901678657,2.790198,2.4873905,5.395979,6.6217666
yellow,Staten Island,Stapleton,1,0.0,0.35036257,0.0,2.7295983,0.24909785,7.9350004,24.270815
yellow,Unknown,Outside of NYC,89,0.6292134831460674,0.26788592,11.317977528089887,2.692953,3.9371672,12.303627,20.007395
yellow,Brooklyn,Red Hook,52,0.5576923076923077,0.32564452,5.291730769230769,2.6808314,3.4845798,7.8740973,10.670996
yellow,Manhattan,Financial District North,2018,0.9202180376610506,0.6052924,4.827998017839445,2.6753445,2.4133964,5.1303606,6.2833166
yellow,Manhattan,Financial District South,963,0.8951194184839044,0.5743424,4.917071651090343,2.6358204,2.4296637,5.3118463,6.5768747
yellow,Queens,College Point,9,0.4444444444444444,0.3434277,3.4955555555555557,2.631804,2.8359044,7.101823,10.350231
yellow,Queens,Steinway,77,0.7142857142857143,0.28341284,8.32012987012987,2.5640895,4.0724835,9.053657,12.504594
yellow,Queens,Long Island City/Hunters Point,195,0.7384615384615385,0.29343814,8.402410256410256,2.558543,4.3006725,9.5461035,13.127446
yellow,Queens,Maspeth,50,0.72,0.3078258,7.555599999999999,2.5582917,3.9774475,8.427575,11.14523
yellow,Manhattan,Battery Park,125,0.92,0.57393354,4.76672,2.5446858,2.3816888,5.1274033,6.1421266
yellow,Queens,Willets Point,3,0.3333333333333333,0.19920893,2.1766666666666667,2.50311,4.9880157,11.59967,17.024235
yellow,Queens,Woodside,68,0.6764705882352942,0.29366833,6.6191176470588236,2.48647,3.9051998,8.549647,11.6726
yellow,Queens,Jamaica Bay,1,1.0,0.32152447,11.45,2.4532802,4.091957,8.891003,10.452588
yellow,Queens,Springfield Gardens South,67,0.5671641791044776,0.21290682,9.065223880597015,2.4022768,3.5864167,9.644892,14.6980505
yellow,Manhattan,Times Sq/Theatre District,11841,0.9407989190102187,0.59907377,4.452647580440841,2.3743076,2.3107088,4.669838,5.8466253
yellow,Manhattan,TriBeCa/Civic Center,4838,0.9379909053327822,0.6253801,4.034547333608929,2.3649457,2.0482242,4.3501534,5.4072623
yellow,Queens,Jackson Heights,110,0.5636363636363636,0.23774435,6.556636363636364,2.357392,3.8793213,8.608975,11.8888035
yellow,Manhattan,Seaport,637,0.8963893249607535,0.54779553,4.448037676609105,2.3180943,2.304354,4.887188,6.0219564
yellow,Brooklyn,Marine Park/Floyd Bennett Field,1,1.0,0.27584732,7.0,2.3112402,3.1589842,9.788266,11.379703
yellow,Queens,Breezy Point/Fort Tilden/Riis Beach,1,1.0,0.38542178,5.0,2.3024993,2.618251,6.774086,8.858106
yellow,Manhattan,West Chelsea/Hudson Yards,6449,0.9427818266397892,0.6333388,3.8411862304233217,2.244642,1.9238304,4.1019936,4.9898615
yellow,Brooklyn,DUMBO/Vinegar Hill,133,0.8646616541353384,0.45513552,4.591353383458647,2.2442696,2.5475914,5.3304477,6.674031
yellow,Manhattan,Midtown South,7767,0.9385863267670915,0.64050883,3.73568816788979,2.2354016,1.9307374,4.076102,4.9390807
yellow,Queens,South Ozone Park,168,0.5892857142857143,0.18258135,9.913988095238095,2.2339697,4.8282037,11.294967,16.171446
yellow,Manhattan,Midtown East,13604,0.9592031755366068,0.6316238,3.8636408409291385,2.2331762,2.003755,4.052405,5.001674
yellow,Manhattan,Garment District,5129,0.9245466952622343,0.62262774,3.7817469292259704,2.222201,2.0225768,4.1136127,5.101601
yellow,Manhattan,East Chelsea,9892,0.9423776789324707,0.6120593,3.98364638091387,2.2121236,2.0310078,4.174181,5.0992775
yellow,Manhattan,Midtown Center,18123,0.9545880924791701,0.6132127,4.011583071235447,2.2083561,2.0509684,4.170778,5.15226
